Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,Outliers
Train,Pedestrian Total,NA,KNN,0.5,1357658.659,860.5553746,94%,Ridge,"{'normalize': True, 'alpha': 0.001}",Removed
Train,Pedestrian Total,Standard,KNN,0.5,1357947.853,860.7204799,94%,Ridge,"{'normalize': False, 'alpha': 10}",Removed
Train,Pedestrian Total,NA,Pandas,0.5,1405724.452,878.8456839,94%,Ridge,"{'normalize': True, 'alpha': 0.001}",Removed
Train,Pedestrian Total,Standard,Pandas,0.5,1406040.808,879.0830899,94%,Ridge,"{'normalize': False, 'alpha': 10}",Removed
Train,Pedestrian Total,NA,Pandas,0.3,1360070.58,861.6958214,93%,Ridge,"{'normalize': False, 'alpha': 10}",Removed
Train,Pedestrian Total,Standard,Pandas,0.3,1360521.041,862.276156,93%,Ridge,"{'normalize': False, 'alpha': 10}",Removed
Test,Pedestrian Total,Standard,KNN,0.3,788698.6558,687.1843626,93%,Ridge,"{'normalize': False, 'alpha': 10}",Removed
Test,Pedestrian Total,NA,KNN,0.3,792699.6651,688.9389626,93%,Ridge,"{'normalize': False, 'alpha': 10}",Removed
Train,Pedestrian Total,NA,Pandas,0.1,1367976.494,876.319209,93%,Ridge,"{'normalize': False, 'alpha': 10}",Removed
Train,Pedestrian Total,Standard,Pandas,0.1,1368099.062,876.4598792,93%,Ridge,"{'normalize': False, 'alpha': 5}",Removed
Test,Pedestrian Total,Standard,KNN,0.3,875264.6615,709.1936278,93%,RandomForest,"{'n_estimators': 1000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Not Removed
Test,Pedestrian Total,NA,KNN,0.3,901878.9362,720.1496682,93%,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Not Removed
Test,Pedestrian Total,NA,KNN,0.1,970477.093,756.5906616,92%,Ridge,"{'normalize': False, 'alpha': 10}",Not Removed
Test,Pedestrian Total,Standard,KNN,0.1,970563.6306,756.6462861,92%,Ridge,"{'normalize': False, 'alpha': 0.001}",Not Removed
Test,Pedestrian Total,NA,KNN,0.3,967973.7637,754.0261366,92%,Ridge,"{'normalize': False, 'alpha': 10}",Not Removed
Test,Pedestrian Total,Standard,KNN,0.3,968247.8037,754.1721214,92%,Ridge,"{'normalize': False, 'alpha': 0.1}",Not Removed
Test,Pedestrian Total,Standard,KNN,0.5,1025667.099,774.9828621,92%,Ridge,"{'normalize': False, 'alpha': 10}",Not Removed
