Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",1994,1994,tonnes,43791,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",1995,1995,tonnes,57836,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",1996,1996,tonnes,60144,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",1997,1997,tonnes,55539,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",1998,1998,tonnes,69312,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",1999,1999,tonnes,78980,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2000,2000,tonnes,97883,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2001,2001,tonnes,98270,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2002,2002,tonnes,144312,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2003,2003,tonnes,187649,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2004,2004,tonnes,163481,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2005,2005,tonnes,166775,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2006,2006,tonnes,176111,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2007,2007,tonnes,211631,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2008,2008,tonnes,206392,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2009,2009,tonnes,251493,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2010,2010,tonnes,269292,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2011,2011,tonnes,287543,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2012,2012,tonnes,321797,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2013,2013,tonnes,319314,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2014,2014,tonnes,342877,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2015,2015,tonnes,323529,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2016,2016,tonnes,305527,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2017,2017,tonnes,300561,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2018,2018,tonnes,290396,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2019,2019,tonnes,302062,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,1058,"Meat, chicken",2020,2020,tonnes,254316,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",1992,1992,1000 US$,92233,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",1993,1993,1000 US$,89525,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",1994,1994,1000 US$,85634,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",1995,1995,1000 US$,126042,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",1996,1996,1000 US$,152658,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",1997,1997,1000 US$,124599,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",1998,1998,1000 US$,152574,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",1999,1999,1000 US$,152794,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2000,2000,1000 US$,150098,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2001,2001,1000 US$,158690,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2002,2002,1000 US$,225856,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2003,2003,1000 US$,362764,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2004,2004,1000 US$,331999,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2005,2005,1000 US$,342940,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2006,2006,1000 US$,352643,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2007,2007,1000 US$,463450,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2008,2008,1000 US$,500982,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2009,2009,1000 US$,568124,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2010,2010,1000 US$,583023,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2011,2011,1000 US$,695142,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2012,2012,1000 US$,742149,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2013,2013,1000 US$,767731,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2014,2014,1000 US$,802110,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2015,2015,1000 US$,665342,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2016,2016,1000 US$,623732,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2017,2017,1000 US$,629582,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2018,2018,1000 US$,649072,,Official data
TCL,Crops and livestock products,79,Germany,5922,Export Value,1058,"Meat, chicken",2019,2019,1000 US$,612079,,Official data
