Statistic,Month,Type of Animal,UNIT,VALUE
Number of Livestock Slaughtered,1978M08,Bulls,000 Head,
Number of Livestock Slaughtered,1978M08,Cows,000 Head,
Number of Livestock Slaughtered,1978M08,Heifers,000 Head,
Number of Livestock Slaughtered,1978M08,Calves,000 Head,0.5
Number of Livestock Slaughtered,1978M08,Lambs,000 Head,
Number of Livestock Slaughtered,1978M08,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1978M08,Cattle without Calves,000 Head,130.7
Number of Livestock Slaughtered,1978M09,Sheep,000 Head,163.7
Number of Livestock Slaughtered,1978M09,Pigs,000 Head,181.6
Number of Livestock Slaughtered,1978M09,Bullocks,000 Head,
Number of Livestock Slaughtered,1978M09,Bulls,000 Head,
Number of Livestock Slaughtered,1978M09,Cows,000 Head,
Number of Livestock Slaughtered,1978M09,Heifers,000 Head,
Number of Livestock Slaughtered,1978M09,Calves,000 Head,0.6
Number of Livestock Slaughtered,1978M09,Lambs,000 Head,
Number of Livestock Slaughtered,1978M09,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1978M09,Cattle without Calves,000 Head,142
Number of Livestock Slaughtered,1978M10,Sheep,000 Head,154.3
Number of Livestock Slaughtered,1978M10,Pigs,000 Head,191
Number of Livestock Slaughtered,1978M10,Bullocks,000 Head,
Number of Livestock Slaughtered,1978M10,Bulls,000 Head,
Number of Livestock Slaughtered,1978M10,Cows,000 Head,
Number of Livestock Slaughtered,1978M10,Heifers,000 Head,
Number of Livestock Slaughtered,1978M10,Calves,000 Head,0.7
Number of Livestock Slaughtered,1978M10,Lambs,000 Head,
Number of Livestock Slaughtered,1978M10,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1978M10,Cattle without Calves,000 Head,159
Number of Livestock Slaughtered,1978M11,Sheep,000 Head,155
Number of Livestock Slaughtered,1978M11,Pigs,000 Head,195.4
Number of Livestock Slaughtered,1978M11,Bullocks,000 Head,
Number of Livestock Slaughtered,1978M11,Bulls,000 Head,
Number of Livestock Slaughtered,1978M11,Cows,000 Head,
Number of Livestock Slaughtered,1978M11,Heifers,000 Head,
Number of Livestock Slaughtered,1978M11,Calves,000 Head,0.7
Number of Livestock Slaughtered,1978M11,Lambs,000 Head,
Number of Livestock Slaughtered,1978M11,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1978M11,Cattle without Calves,000 Head,172.9
Number of Livestock Slaughtered,1978M12,Sheep,000 Head,137.4
Number of Livestock Slaughtered,1978M12,Pigs,000 Head,159.4
Number of Livestock Slaughtered,1978M12,Bullocks,000 Head,
Number of Livestock Slaughtered,1978M12,Bulls,000 Head,
Number of Livestock Slaughtered,1978M12,Cows,000 Head,
Number of Livestock Slaughtered,1978M12,Heifers,000 Head,
Number of Livestock Slaughtered,1978M12,Calves,000 Head,0.5
Number of Livestock Slaughtered,1978M12,Lambs,000 Head,
Number of Livestock Slaughtered,1978M12,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1978M12,Cattle without Calves,000 Head,125
Number of Livestock Slaughtered,1979M01,Sheep,000 Head,136.7
Number of Livestock Slaughtered,1979M01,Pigs,000 Head,216
Number of Livestock Slaughtered,1979M01,Bullocks,000 Head,
Number of Livestock Slaughtered,1979M01,Bulls,000 Head,
Number of Livestock Slaughtered,1979M01,Cows,000 Head,
Number of Livestock Slaughtered,1979M01,Heifers,000 Head,
Number of Livestock Slaughtered,1979M01,Calves,000 Head,0.5
Number of Livestock Slaughtered,1979M01,Lambs,000 Head,
Number of Livestock Slaughtered,1979M01,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1979M01,Cattle without Calves,000 Head,109.9
Number of Livestock Slaughtered,1979M02,Sheep,000 Head,124
Number of Livestock Slaughtered,1979M02,Pigs,000 Head,177.3
Number of Livestock Slaughtered,1979M02,Bullocks,000 Head,
Number of Livestock Slaughtered,1979M02,Bulls,000 Head,
Number of Livestock Slaughtered,1979M02,Cows,000 Head,
Number of Livestock Slaughtered,1979M02,Heifers,000 Head,
Number of Livestock Slaughtered,1979M02,Calves,000 Head,0.3
Number of Livestock Slaughtered,1979M02,Lambs,000 Head,
Number of Livestock Slaughtered,1979M02,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1979M02,Cattle without Calves,000 Head,85.1
Number of Livestock Slaughtered,1979M03,Sheep,000 Head,111.4
Number of Livestock Slaughtered,1979M03,Pigs,000 Head,180.9
Number of Livestock Slaughtered,1979M03,Bullocks,000 Head,
Number of Livestock Slaughtered,1979M03,Bulls,000 Head,
Number of Livestock Slaughtered,1979M03,Cows,000 Head,
Number of Livestock Slaughtered,1979M03,Heifers,000 Head,
Number of Livestock Slaughtered,1979M03,Calves,000 Head,0.5
Number of Livestock Slaughtered,1979M03,Lambs,000 Head,
Number of Livestock Slaughtered,1979M03,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1979M03,Cattle without Calves,000 Head,99.5
Number of Livestock Slaughtered,1979M04,Sheep,000 Head,103.8
Number of Livestock Slaughtered,1979M04,Pigs,000 Head,176.4
Number of Livestock Slaughtered,1979M04,Bullocks,000 Head,
Number of Livestock Slaughtered,1979M04,Bulls,000 Head,
Number of Livestock Slaughtered,1979M04,Cows,000 Head,
Number of Livestock Slaughtered,1979M04,Heifers,000 Head,
Number of Livestock Slaughtered,1979M04,Calves,000 Head,0.6
Number of Livestock Slaughtered,1979M04,Lambs,000 Head,
Number of Livestock Slaughtered,1979M04,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1979M04,Cattle without Calves,000 Head,88.2
Number of Livestock Slaughtered,1979M05,Sheep,000 Head,119.5
Number of Livestock Slaughtered,1979M05,Pigs,000 Head,220.9
Number of Livestock Slaughtered,1979M05,Bullocks,000 Head,
Number of Livestock Slaughtered,1979M05,Bulls,000 Head,
Number of Livestock Slaughtered,1979M05,Cows,000 Head,
Number of Livestock Slaughtered,1979M05,Heifers,000 Head,
Number of Livestock Slaughtered,1979M05,Calves,000 Head,0.5
Number of Livestock Slaughtered,1979M05,Lambs,000 Head,
Number of Livestock Slaughtered,1979M05,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1979M05,Cattle without Calves,000 Head,82.1
Number of Livestock Slaughtered,1979M06,Sheep,000 Head,139.6
Number of Livestock Slaughtered,1979M06,Pigs,000 Head,171.7
Number of Livestock Slaughtered,1979M06,Bullocks,000 Head,
Number of Livestock Slaughtered,1979M06,Bulls,000 Head,
Number of Livestock Slaughtered,1979M06,Cows,000 Head,
Number of Livestock Slaughtered,1979M06,Heifers,000 Head,
Number of Livestock Slaughtered,1979M06,Calves,000 Head,0.5
Number of Livestock Slaughtered,1979M06,Lambs,000 Head,
Number of Livestock Slaughtered,1979M06,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1979M06,Cattle without Calves,000 Head,84.8
Number of Livestock Slaughtered,1979M07,Sheep,000 Head,158
Number of Livestock Slaughtered,1979M07,Pigs,000 Head,174
Number of Livestock Slaughtered,1979M07,Bullocks,000 Head,
Number of Livestock Slaughtered,1979M07,Bulls,000 Head,
Number of Livestock Slaughtered,1979M07,Cows,000 Head,
Number of Livestock Slaughtered,1979M07,Heifers,000 Head,
Number of Livestock Slaughtered,1979M07,Calves,000 Head,0.6
Number of Livestock Slaughtered,1979M07,Lambs,000 Head,
Number of Livestock Slaughtered,1979M07,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1979M07,Cattle without Calves,000 Head,107.2
Number of Livestock Slaughtered,1979M08,Sheep,000 Head,132.4
Number of Livestock Slaughtered,1979M08,Pigs,000 Head,220.3
Number of Livestock Slaughtered,1979M08,Bullocks,000 Head,
Number of Livestock Slaughtered,1979M08,Bulls,000 Head,
Number of Livestock Slaughtered,1979M08,Cows,000 Head,
Number of Livestock Slaughtered,1979M08,Heifers,000 Head,
Number of Livestock Slaughtered,1979M08,Calves,000 Head,0.6
Number of Livestock Slaughtered,1979M08,Lambs,000 Head,
Number of Livestock Slaughtered,1979M08,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1979M08,Cattle without Calves,000 Head,128.9
Number of Livestock Slaughtered,1979M09,Sheep,000 Head,134.8
Number of Livestock Slaughtered,1979M09,Pigs,000 Head,188.7
Number of Livestock Slaughtered,1979M09,Bullocks,000 Head,
Number of Livestock Slaughtered,1979M09,Bulls,000 Head,
Number of Livestock Slaughtered,1979M09,Cows,000 Head,
Number of Livestock Slaughtered,1979M09,Heifers,000 Head,
Number of Livestock Slaughtered,1979M09,Calves,000 Head,0.7
Number of Livestock Slaughtered,1979M09,Lambs,000 Head,
Number of Livestock Slaughtered,1979M09,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1979M09,Cattle without Calves,000 Head,150.9
Number of Livestock Slaughtered,1979M10,Sheep,000 Head,157.5
Number of Livestock Slaughtered,1979M10,Pigs,000 Head,230
Number of Livestock Slaughtered,1979M10,Bullocks,000 Head,
Number of Livestock Slaughtered,1979M10,Bulls,000 Head,
Number of Livestock Slaughtered,1979M10,Cows,000 Head,
Number of Livestock Slaughtered,1979M10,Heifers,000 Head,
Number of Livestock Slaughtered,1979M10,Calves,000 Head,0.9
Number of Livestock Slaughtered,1979M10,Lambs,000 Head,
Number of Livestock Slaughtered,1979M10,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1979M10,Cattle without Calves,000 Head,183.2
Number of Livestock Slaughtered,1979M11,Sheep,000 Head,152.4
Number of Livestock Slaughtered,1979M11,Pigs,000 Head,190.8
Number of Livestock Slaughtered,1979M11,Bullocks,000 Head,
Number of Livestock Slaughtered,1979M11,Bulls,000 Head,
Number of Livestock Slaughtered,1979M11,Cows,000 Head,
Number of Livestock Slaughtered,1979M11,Heifers,000 Head,
Number of Livestock Slaughtered,1979M11,Calves,000 Head,0.7
Number of Livestock Slaughtered,1979M11,Lambs,000 Head,
Number of Livestock Slaughtered,1979M11,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1979M11,Cattle without Calves,000 Head,198.3
Number of Livestock Slaughtered,1979M12,Sheep,000 Head,132.7
Number of Livestock Slaughtered,1979M12,Pigs,000 Head,151.6
Number of Livestock Slaughtered,1979M12,Bullocks,000 Head,
Number of Livestock Slaughtered,1979M12,Bulls,000 Head,
Number of Livestock Slaughtered,1979M12,Cows,000 Head,
Number of Livestock Slaughtered,1979M12,Heifers,000 Head,
Number of Livestock Slaughtered,1979M12,Calves,000 Head,0.8
Number of Livestock Slaughtered,1979M12,Lambs,000 Head,
Number of Livestock Slaughtered,1979M12,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1979M12,Cattle without Calves,000 Head,141.5
Number of Livestock Slaughtered,1980M01,Sheep,000 Head,161
Number of Livestock Slaughtered,1980M01,Pigs,000 Head,216.8
Number of Livestock Slaughtered,1980M01,Bullocks,000 Head,70.6
Number of Livestock Slaughtered,1980M01,Bulls,000 Head,0.4
Number of Livestock Slaughtered,1980M01,Cows,000 Head,43.6
Number of Livestock Slaughtered,1980M01,Heifers,000 Head,35.1
Number of Livestock Slaughtered,1980M01,Calves,000 Head,0.6
Number of Livestock Slaughtered,1980M01,Lambs,000 Head,123.1
Number of Livestock Slaughtered,1980M01,Cattle (Including Calves),000 Head,150.9
Number of Livestock Slaughtered,1980M01,Cattle without Calves,000 Head,150.3
Number of Livestock Slaughtered,1980M02,Sheep,000 Head,148.2
Number of Livestock Slaughtered,1980M02,Pigs,000 Head,196
Number of Livestock Slaughtered,1980M02,Bullocks,000 Head,64
Number of Livestock Slaughtered,1980M02,Bulls,000 Head,0.6
Number of Livestock Slaughtered,1980M02,Cows,000 Head,42.3
Number of Livestock Slaughtered,1980M02,Heifers,000 Head,33.6
Number of Livestock Slaughtered,1980M02,Calves,000 Head,0.5
Number of Livestock Slaughtered,1980M02,Lambs,000 Head,113.8
Number of Livestock Slaughtered,1980M02,Cattle (Including Calves),000 Head,141.4
Number of Livestock Slaughtered,1980M02,Cattle without Calves,000 Head,140.9
Number of Livestock Slaughtered,1980M03,Sheep,000 Head,137
Number of Livestock Slaughtered,1980M03,Pigs,000 Head,184.9
Number of Livestock Slaughtered,1980M03,Bullocks,000 Head,44.6
Number of Livestock Slaughtered,1980M03,Bulls,000 Head,0.7
Number of Livestock Slaughtered,1980M03,Cows,000 Head,32.4
Number of Livestock Slaughtered,1980M03,Heifers,000 Head,29.8
Number of Livestock Slaughtered,1980M03,Calves,000 Head,0.7
Number of Livestock Slaughtered,1980M03,Lambs,000 Head,104.5
Number of Livestock Slaughtered,1980M03,Cattle (Including Calves),000 Head,109
Number of Livestock Slaughtered,1980M03,Cattle without Calves,000 Head,108.3
Number of Livestock Slaughtered,1980M04,Sheep,000 Head,118.3
Number of Livestock Slaughtered,1980M04,Pigs,000 Head,198.2
Number of Livestock Slaughtered,1980M04,Bullocks,000 Head,43.7
Number of Livestock Slaughtered,1980M04,Bulls,000 Head,0.5
Number of Livestock Slaughtered,1980M04,Cows,000 Head,26.3
Number of Livestock Slaughtered,1980M04,Heifers,000 Head,28.9
Number of Livestock Slaughtered,1980M04,Calves,000 Head,0.6
Number of Livestock Slaughtered,1980M04,Lambs,000 Head,90.1
Number of Livestock Slaughtered,1980M04,Cattle (Including Calves),000 Head,100.7
Number of Livestock Slaughtered,1980M04,Cattle without Calves,000 Head,100.1
Number of Livestock Slaughtered,1980M05,Sheep,000 Head,131.1
Number of Livestock Slaughtered,1980M05,Pigs,000 Head,192.5
Number of Livestock Slaughtered,1980M05,Bullocks,000 Head,43.6
Number of Livestock Slaughtered,1980M05,Bulls,000 Head,0.5
Number of Livestock Slaughtered,1980M05,Cows,000 Head,29.5
Number of Livestock Slaughtered,1980M05,Heifers,000 Head,31.4
Number of Livestock Slaughtered,1980M05,Calves,000 Head,0.5
Number of Livestock Slaughtered,1980M05,Lambs,000 Head,108.8
Number of Livestock Slaughtered,1980M05,Cattle (Including Calves),000 Head,106
Number of Livestock Slaughtered,1980M05,Cattle without Calves,000 Head,105.5
Number of Livestock Slaughtered,1980M06,Sheep,000 Head,114.4
Number of Livestock Slaughtered,1980M06,Pigs,000 Head,185.9
Number of Livestock Slaughtered,1980M06,Bullocks,000 Head,43.3
Number of Livestock Slaughtered,1980M06,Bulls,000 Head,0.8
Number of Livestock Slaughtered,1980M06,Cows,000 Head,30.2
Number of Livestock Slaughtered,1980M06,Heifers,000 Head,30
Number of Livestock Slaughtered,1980M06,Calves,000 Head,0.3
Number of Livestock Slaughtered,1980M06,Lambs,000 Head,92.3
Number of Livestock Slaughtered,1980M06,Cattle (Including Calves),000 Head,104.9
Number of Livestock Slaughtered,1980M06,Cattle without Calves,000 Head,104.6
Number of Livestock Slaughtered,1980M07,Sheep,000 Head,123.6
Number of Livestock Slaughtered,1980M07,Pigs,000 Head,204.9
Number of Livestock Slaughtered,1980M07,Bullocks,000 Head,59.4
Number of Livestock Slaughtered,1980M07,Bulls,000 Head,1.1
Number of Livestock Slaughtered,1980M07,Cows,000 Head,35.6
Number of Livestock Slaughtered,1980M07,Heifers,000 Head,33.6
Number of Livestock Slaughtered,1980M07,Calves,000 Head,0.9
Number of Livestock Slaughtered,1980M07,Lambs,000 Head,100.7
Number of Livestock Slaughtered,1980M07,Cattle (Including Calves),000 Head,131.4
Number of Livestock Slaughtered,1980M07,Cattle without Calves,000 Head,130.5
Number of Livestock Slaughtered,1980M08,Sheep,000 Head,125.7
Number of Livestock Slaughtered,1980M08,Pigs,000 Head,192.8
Number of Livestock Slaughtered,1980M08,Bullocks,000 Head,68
Number of Livestock Slaughtered,1980M08,Bulls,000 Head,1.6
Number of Livestock Slaughtered,1980M08,Cows,000 Head,45.8
Number of Livestock Slaughtered,1980M08,Heifers,000 Head,37.4
Number of Livestock Slaughtered,1980M08,Calves,000 Head,0.7
Number of Livestock Slaughtered,1980M08,Lambs,000 Head,99.9
Number of Livestock Slaughtered,1980M08,Cattle (Including Calves),000 Head,154.1
Number of Livestock Slaughtered,1980M08,Cattle without Calves,000 Head,153.4
Number of Livestock Slaughtered,1980M09,Sheep,000 Head,152.9
Number of Livestock Slaughtered,1980M09,Pigs,000 Head,199.9
Number of Livestock Slaughtered,1980M09,Bullocks,000 Head,81.3
Number of Livestock Slaughtered,1980M09,Bulls,000 Head,1.5
Number of Livestock Slaughtered,1980M09,Cows,000 Head,47.8
Number of Livestock Slaughtered,1980M09,Heifers,000 Head,40.5
Number of Livestock Slaughtered,1980M09,Calves,000 Head,0.6
Number of Livestock Slaughtered,1980M09,Lambs,000 Head,120.9
Number of Livestock Slaughtered,1980M09,Cattle (Including Calves),000 Head,172.3
Number of Livestock Slaughtered,1980M09,Cattle without Calves,000 Head,171.7
Number of Livestock Slaughtered,1980M10,Sheep,000 Head,177.8
Number of Livestock Slaughtered,1980M10,Pigs,000 Head,212
Number of Livestock Slaughtered,1980M10,Bullocks,000 Head,95
Number of Livestock Slaughtered,1980M10,Bulls,000 Head,1.2
Number of Livestock Slaughtered,1980M10,Cows,000 Head,62.2
Number of Livestock Slaughtered,1980M10,Heifers,000 Head,47.6
Number of Livestock Slaughtered,1980M10,Calves,000 Head,0.8
Number of Livestock Slaughtered,1980M10,Lambs,000 Head,153.4
Number of Livestock Slaughtered,1980M10,Cattle (Including Calves),000 Head,207.6
Number of Livestock Slaughtered,1980M10,Cattle without Calves,000 Head,206.8
Number of Livestock Slaughtered,1980M11,Sheep,000 Head,189.9
Number of Livestock Slaughtered,1980M11,Pigs,000 Head,199.4
Number of Livestock Slaughtered,1980M11,Bullocks,000 Head,72.9
Number of Livestock Slaughtered,1980M11,Bulls,000 Head,0.6
Number of Livestock Slaughtered,1980M11,Cows,000 Head,57.3
Number of Livestock Slaughtered,1980M11,Heifers,000 Head,43.4
Number of Livestock Slaughtered,1980M11,Calves,000 Head,0.6
Number of Livestock Slaughtered,1980M11,Lambs,000 Head,165.7
Number of Livestock Slaughtered,1980M11,Cattle (Including Calves),000 Head,175.4
Number of Livestock Slaughtered,1980M11,Cattle without Calves,000 Head,174.8
Number of Livestock Slaughtered,1980M12,Sheep,000 Head,195.4
Number of Livestock Slaughtered,1980M12,Pigs,000 Head,201.9
Number of Livestock Slaughtered,1980M12,Bullocks,000 Head,46.4
Number of Livestock Slaughtered,1980M12,Bulls,000 Head,0.3
Number of Livestock Slaughtered,1980M12,Cows,000 Head,38.4
Number of Livestock Slaughtered,1980M12,Heifers,000 Head,34.8
Number of Livestock Slaughtered,1980M12,Calves,000 Head,0.5
Number of Livestock Slaughtered,1980M12,Lambs,000 Head,171.8
Number of Livestock Slaughtered,1980M12,Cattle (Including Calves),000 Head,121
Number of Livestock Slaughtered,1980M12,Cattle without Calves,000 Head,120.5
Number of Livestock Slaughtered,1981M01,Sheep,000 Head,177.8
Number of Livestock Slaughtered,1981M01,Pigs,000 Head,207
Number of Livestock Slaughtered,1981M01,Bullocks,000 Head,26.8
Number of Livestock Slaughtered,1981M01,Bulls,000 Head,0.4
Number of Livestock Slaughtered,1981M01,Cows,000 Head,29.3
