TIME,GEO,MEAT,MEATITEM,UNIT,Value,Flag and Footnotes
1992M11,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,6.2,
1992M11,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),301.7,
1992M11,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1992M11,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M12,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,146.28,
1992M12,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),496.32,
1992M12,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,315.59,
1992M12,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),"3,467.10",
1992M12,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand tonnes,5.05,
1992M12,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),257.41,
1992M12,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1992M12,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M12,Ireland,Bovine meat,Slaughterings,Thousand tonnes,38.3,
1992M12,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),117.4,
1992M12,Ireland,Pigmeat,Slaughterings,Thousand tonnes,16.7,
1992M12,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),247.5,
1992M12,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,6.1,
1992M12,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),298.9,
1992M12,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1992M12,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
1993M01,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,134.08,
1993M01,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),442.44,
1993M01,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,316.16,
1993M01,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),"3,435.07",
1993M01,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand tonnes,2.77,
1993M01,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),142.67,
1993M01,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1993M01,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1993M01,Ireland,Bovine meat,Slaughterings,Thousand tonnes,38.3,
1993M01,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),114.9,
1993M01,Ireland,Pigmeat,Slaughterings,Thousand tonnes,17.8,
1993M01,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),256.9,
1993M01,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,5.7,
1993M01,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),274.9,
1993M01,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1993M01,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
1993M02,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,125.68,
1993M02,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),414.96,
1993M02,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,286.42,
